eps  linf_ball    callote  outside
0.30 4946 0 5054
1.16 4946 5020 34
2.02 4946 5050 4
2.88 4946 5053 1
3.74 4946 5054 0
4.60 4946 5054 0
5.46 4946 5054 0
6.32 4946 5054 0
7.17 4946 5054 0
8.03 4946 5054 0
8.89 4946 5054 0
9.75 4946 5054 0
10.61 4946 5054 0
11.47 4946 5054 0
12.33 4946 5054 0
13.19 4946 5054 0
14.05 4946 5054 0
14.91 4946 5054 0
15.77 4946 5054 0
16.63 4946 5054 0
