steps;acdc_2_layers;acdc_4_layers;circ_2_layers
1840;2.6874;1.5741;1.3488
1850;2.5279;1.596;1.3206
1860;2.53;1.5439;1.3108
1870;2.2396;1.5495;1.2841
1880;2.3669;1.5561;1.3178
1890;2.3084;1.603;1.3851
1900;2.4762;1.5477;1.3049
1910;2.3936;1.5372;1.297
1920;2.5093;1.604;1.344
1930;2.4117;1.5422;1.2883
1940;2.6631;1.557;1.3487
1950;2.5115;1.5861;1.3206
1960;2.509;1.5276;1.3107
1970;2.2319;1.5418;1.284
1980;2.3393;1.5516;1.3177
1990;2.2913;1.5921;1.385
2000;2.4519;1.5429;1.3048
2010;2.3636;1.5219;1.2969
2020;2.4896;1.5875;1.3439
2030;2.3892;1.5231;1.2882
2040;2.6415;1.546;1.3487
2050;2.4893;1.5756;1.3205
2060;2.4855;1.5101;1.3106
2070;2.2181;1.5146;1.2839
2080;2.3281;1.5435;1.3177
2090;2.2802;1.5814;1.3849
2100;2.4257;1.5232;1.3048
2110;2.3497;1.5138;1.2969
2120;2.4752;1.5731;1.3438
2130;2.3673;1.5123;1.2881
2140;2.6222;1.5376;1.3486
2150;2.4771;1.548;1.3205
2160;2.4677;1.5167;1.3106
2170;2.1946;1.5064;1.2838
2180;2.3089;1.5277;1.3176
2190;2.256;1.5767;1.3848
2200;2.4024;1.5096;1.3047
2210;2.332;1.4927;1.2968
2220;2.4597;1.5657;1.3437
2230;2.3493;1.5146;1.288
2240;2.6105;1.5289;1.3485
2250;2.4596;1.5416;1.3205
2260;2.446;1.5019;1.3105
2270;2.1771;1.499;1.2837
2280;2.2981;1.5248;1.3176
2290;2.2434;1.5815;1.3847
2300;2.3855;1.4899;1.3046
2310;2.3194;1.4844;1.2967
2320;2.4473;1.5427;1.3437
2330;2.3322;1.492;1.2879
2340;2.5943;1.5213;1.3484
2350;2.4463;1.5305;1.3204
2360;2.4295;1.4928;1.3104
2370;2.168;1.4898;1.2837
2380;2.2857;1.5221;1.3176
2390;2.237;1.5657;1.3846
2400;2.3661;1.5053;1.3046
2410;2.3107;1.4791;1.2967
2420;2.4295;1.5328;1.3436
2430;2.3138;1.4845;1.2879
2440;2.5775;1.5157;1.3484
2450;2.4321;1.521;1.3204
2460;2.4122;1.4913;1.3104
2470;2.1546;1.4742;1.2836
2480;2.2688;1.5077;1.3175
2490;2.2144;1.5596;1.3845
2500;2.3485;1.4847;1.3045
2510;2.2987;1.4586;1.2966
2520;2.4122;1.5368;1.3435
2530;2.301;1.4676;1.2878
2540;2.5636;1.4994;1.3483
2550;2.4188;1.5087;1.3203
2560;2.4002;1.4762;1.3103
2570;2.1434;1.4648;1.2835
2580;2.2603;1.4902;1.3175
2590;2.2191;1.55;1.3845
2600;2.3266;1.4719;1.3045
2610;2.2801;1.4534;1.2966
2620;2.4033;1.5225;1.3434
2630;2.289;1.4763;1.2877
2640;2.5477;1.4942;1.3482
2650;2.4065;1.4904;1.3203
2660;2.3744;1.482;1.3102
2670;2.1176;1.4514;1.2834
2680;2.2418;1.4905;1.3175
2690;2.2029;1.5392;1.3844
2700;2.3204;1.4705;1.3044
2710;2.2676;1.4488;1.2965
2720;2.3868;1.5146;1.3433
2730;2.282;1.4518;1.2876
2740;2.5372;1.4927;1.3482
2750;2.3918;1.4837;1.3203
2760;2.3687;1.4682;1.3102
2770;2.122;1.4414;1.2833
2780;2.2367;1.4836;1.3174
2790;2.1831;1.5396;1.3843
2800;2.298;1.4468;1.3043
2810;2.2656;1.4389;1.2965
2820;2.3743;1.4977;1.3432
2830;2.2645;1.4426;1.2876
2840;2.5292;1.4789;1.3481
2850;2.3817;1.4767;1.3202
2860;2.3517;1.4614;1.3101
2870;2.1095;1.4344;1.2833
2880;2.2248;1.4737;1.3174
2890;2.1804;1.5352;1.3842
2900;2.2829;1.4501;1.3043
2910;2.2409;1.4316;1.2964
2920;2.3621;1.4931;1.3431
2930;2.2477;1.4511;1.2875
2940;2.5202;1.4854;1.348
2950;2.3695;1.4766;1.3202
2960;2.3339;1.4496;1.3101
2970;2.1027;1.4288;1.2832
2980;2.2122;1.4664;1.3173
2990;2.1652;1.5255;1.3841
3000;2.2711;1.4457;1.3042
3010;2.2362;1.4278;1.2963
3020;2.351;1.4816;1.343
3030;2.2315;1.4474;1.2874
3040;2.4925;1.4629;1.3479
3050;2.3661;1.4706;1.3202
3060;2.3275;1.4527;1.31
3070;2.0852;1.4161;1.2831
3080;2.2116;1.4661;1.3173
3090;2.163;1.5216;1.384
3100;2.2527;1.4379;1.3042
3110;2.2215;1.4231;1.2963
3120;2.3376;1.4671;1.3429
3130;2.2285;1.4303;1.2873
3140;2.4841;1.4554;1.3479
3150;2.3444;1.4621;1.3201
3160;2.3162;1.4525;1.3099
3170;2.0709;1.4097;1.283
3180;2.1977;1.4615;1.3173
3190;2.145;1.5175;1.384
3200;2.2447;1.4351;1.3041
3210;2.2184;1.4156;1.2962
3220;2.3326;1.4736;1.3428
3230;2.2128;1.4202;1.2873
3240;2.4698;1.4544;1.3478
3250;2.3371;1.4476;1.3201
3260;2.2979;1.4451;1.3099
3270;2.0731;1.4079;1.283
3280;2.18;1.4688;1.3172
3290;2.1491;1.5091;1.3839
3300;2.2316;1.429;1.3041
3310;2.2099;1.4079;1.2962
3320;2.329;1.4663;1.3427
3330;2.2038;1.4133;1.2872
3340;2.4681;1.4613;1.3477
3350;2.3275;1.4452;1.32
3360;2.2952;1.4325;1.3098
3370;2.0623;1.404;1.2829
3380;2.1751;1.4525;1.3172
3390;2.136;1.5137;1.3838
3400;2.2151;1.4193;1.304
3410;2.195;1.4024;1.2961
3420;2.3112;1.468;1.3427
3430;2.1947;1.4012;1.2871
3440;2.4504;1.4497;1.3477
3450;2.3181;1.4372;1.32
3460;2.2738;1.4317;1.3097
3470;2.062;1.4109;1.2828
3480;2.161;1.4559;1.3171
3490;2.1335;1.5034;1.3837
3500;2.1998;1.4182;1.3039
3510;2.1924;1.4068;1.2961
3520;2.2973;1.456;1.3426
3530;2.1875;1.4068;1.287
3540;2.4384;1.4494;1.3476
3550;2.3137;1.4352;1.32
3560;2.2609;1.4278;1.3097
3570;2.0488;1.3952;1.2827
3580;2.1616;1.4442;1.3171
3590;2.1205;1.501;1.3836
3600;2.1922;1.4163;1.3039
3610;2.18;1.3995;1.296
3620;2.2908;1.4548;1.3425
3630;2.1714;1.414;1.287
3640;2.4314;1.4427;1.3475
3650;2.2948;1.4367;1.3199
3660;2.2565;1.4256;1.3096
3670;2.0306;1.3945;1.2827
3680;2.1514;1.4435;1.3171
3690;2.1122;1.5007;1.3835
3700;2.1756;1.4138;1.3038
